"date","course","race_id","off","race_name","type","class","pattern","rating_band","age_band","sex_rest","dist","going","ran","num","pos","draw","ovr_btn","btn","horse","age","sex","wgt","hg","time","sp","jockey","trainer","prize","or","rpr","ts","sire","dam","damsire","owner","comment"
"2025-05-01","Yarmouth","891593","4:25","Winning Experience With Moulton Racing Handicap","Flat","Class 4","","0-78","4yo+","","1m","Good To Firm","9","5","1","8","0","0","Mr Swivell (GB)","4","G","9-7","","1:38.42","11/4","Ray Dawson","Kevin Philippart De Foy","5652.72","77","86","56","City Light (FR)","How High The Sky (IRE)","Danehill Dancer","Stuart Wood","Prominent - ridden 2f out - pressed leader inside final furlong - ran on well to lead towards finish(op 9/4)"
"2025-05-01","Yarmouth","891593","4:25","Winning Experience With Moulton Racing Handicap","Flat","Class 4","","0-78","4yo+","","1m","Good To Firm","9","1","2","1",".75",".75","Kingdom Of Time (GB)","4","G","9-8","b","1:38.57","11/2","Hollie Doyle","Archie Watson","2652.48","78","85","55","Dubawi (IRE)","Via Condotti (IRE)","Galileo","Hambleton Racing Ltd Xxxiii Partner","Took keen hold - prominent - led over 4f out - 3 lengths ahead when ridden over 1f out - headed towards finish(op 5/1 tchd 4/1)"
"2025-05-01","Yarmouth","891593","4:25","Winning Experience With Moulton Racing Handicap","Flat","Class 4","","0-78","4yo+","","1m","Good To Firm","9","8","3","2","1.25",".5","Encourageable (IRE)","6","G","9-6","","1:38.67","15/2","Billy Loughnane","Michael Appleby","1325.16","76","82","52","Profitable (IRE)","Dutch Courage GB","Dutch Art","Hamdani Racing","Midfield - headway halfway - went second over 2f out - lost position inside final furlong - kept on(op 17/2)"
"2025-05-01","Yarmouth","891593","4:25","Winning Experience With Moulton Racing Handicap","Flat","Class 4","","0-78","4yo+","","1m","Good To Firm","9","4","4","6","1.75",".5","Royal Velvet (GB)","4","F","9-7","","1:38.77","5/2F","Oisin Murphy","William Knight","663.12","77","82","52","Lightning Spear (GB)","Velvet Morn (IRE)","Epaulette","Mrs Susie Hartley","Towards rear - headway over 1f out - kept on inside final furlong(op 7/2 tchd 4/1)"
"2025-05-01","Yarmouth","891593","4:25","Winning Experience With Moulton Racing Handicap","Flat","Class 4","","0-78","4yo+","","1m","Good To Firm","9","7","5","9","1.75","0.05","A Major Payne (GB)","4","G","9-6","","1:38.78","9/1","Hector Crouch","Michael Bell","330.48","76","80","51","Harry Angel (IRE)","Thankful GB","Diesis","A Major Payne Partnership","Towards rear - headway against near rail over 1f out - kept on inside final furlong(op 7/1)"
"2025-05-01","Yarmouth","891593","4:25","Winning Experience With Moulton Racing Handicap","Flat","Class 4","","0-78","4yo+","","1m","Good To Firm","9","6","6","3","3","1.25","Dopamine (GB)","4","F","9-7","","1:39.02","14/1","Callum Shepherd","George Scott","","77","78","49","New Bay (GB)","For Henry (IRE)","Galileo","Elb Bloodstock Ltd","Held up in rear - some headway final furlong - not reach leaders(op 16/1)"
"2025-05-01","Yarmouth","891593","4:25","Winning Experience With Moulton Racing Handicap","Flat","Class 4","","0-78","4yo+","","1m","Good To Firm","9","3","7","4","5.25","2.25","Great Blasket (IRE)","5","G","9-8","b","1:39.47","11/2","Kieran Shoemark","Dr Richard Newland & Jamie Insole","","78","74","45","Gregorian (IRE)","Dream Belle GB","Oasis Dream","Urloxhey Racing","Midfield - weakened final furlong(op 6/1 tchd 5/1)"
"2025-05-01","Yarmouth","891593","4:25","Winning Experience With Moulton Racing Handicap","Flat","Class 4","","0-78","4yo+","","1m","Good To Firm","9","9","8","7","11.75","6.5","Bass Player (IRE)","6","G","9-4","","1:40.77","25/1","Alistair Rawlinson","Kevin Frost","","74","54","25","Iffraaj (GB)","Rhythm And Rhyme (IRE)","Elnadim","Kevin Frost","Prominent - lost position 2f out - soon weakened(tchd 20/1)"
"2025-05-01","Yarmouth","891593","4:25","Winning Experience With Moulton Racing Handicap","Flat","Class 4","","0-78","4yo+","","1m","Good To Firm","9","2","9","5","37.75","26","Noble Order (IRE)","6","G","9-8","","1:45.97","150/1","Kieran ONeill","Christine Dunnett","","78","–","–","Dubawi (IRE)","Zibelina (IRE)","Dansili","Mrs Christine Dunnett","Led - headed over 4f out - weakened quickly over 2f out - eased final furlong(op 66/1)"
"2025-05-01","Yarmouth","891594","5:00","Infobond Technical Manpower Services Fillies Handicap","Flat","Class 4","","0-85","3yo","F","7f","Good To Firm","10","2","1","2","0","0","Jowddah (IRE)","3","F","9-7","","1:24.77","5/2F","Silvestre De Sousa","Roger Varian","5652.72","83","90","76","New Bay (GB)","Queen Arabella GB","Medicean","Sheikh Ahmed Al Maktoum","Prominent - led over 2f out - ridden over 1f out - faced challenges final 110yds - just did enough(op 9/4)"
